"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","Y"
2182.07,63.66,0.91,73.17,1.35,187.734066689478,32,1.42,102,50.1983,14.9866666666667,14.96,0.94,1.25,25,3.5,2,41.76,1024.07,21.951,"A",463.26
2188.04,71.26,-0.26,59.08,1.14,171.187923166665,31,1.19,106,49.6363,18.3933333333333,25.18,1.33,1.39,29,4.05,2,62.96,1020.04,64.988,"A",444.37
2401.16,66.8,1.06,92.14,5.95,190.890285592814,26,1.27,114,50.3591,13.7033333333333,5.11,33.3,0.49,31.1,5.47,4,39.4,1012.16,128.996,"C",488.56
2193.24,63.62,-0.45,76.64,0.94,180.216182928137,30,1.3,103,49.801,15.9533333333333,20.86,1.32,1.25,28.7,4.18,2,57.32,1010.24,91.968,"D",446.48
2175.23,50.7,0.21,96.62,1.08,193.755365453396,31,1.13,99,50.0343,13.6066666666667,10.82,0.69,1.66,26.7,3.31,2,37.5,1009.23,77.296,"B",473.9
2143.23,80.14,0.53,58.77,1.61,170.518516053756,34,1.24,89,50.1558,19.7566666666667,26.27,0.12,24.54,25.3,2.96,3,59.44,1012.23,41.139,"A",443.67
2253.02,53.36,0.03,75.24,1.05,194.731657278162,26,0.93,104,50.0766,14.2966666666667,15.89,1.69,1.14,29.1,4.46,4,43.96,1014.02,60.192,"B",467.35
2382.12,62.71,0.46,66.43,1.33,189.397433326431,28,1.01,101,50.449,14.16,9.48,3.32,1.21,28.9,4.66,5,44.71,1019.12,59.787,"A",478.42
2312.78,51.7,-0.23,41.25,1.05,192.889038787318,26,1.23,110,49.8831,12.88,14.64,1.56,1.08,29.3,4.29,3,45,1021.78,49.5,"A",475.98
2225.14,50.16,-0.75,70.72,0.5,191.79734403756,32,0.85,98,49.7142,10.9133333333333,11.74,0.76,2.52,28.5,3.81,3,43.56,1015.14,70.72,"B",477.5
2234.64,50.62,-0.27,75.04,0.99,189.30802101343,31,1,102,50.3133,16.9966666666667,17.99,0.94,1.43,28.9,4,3,43.72,1008.64,90.048,"B",453.02
2246.66,61.03,0.38,64.22,1.19,180.623600937585,27,0.83,107,49.8877,18.7133333333333,20.14,1.34,0.98,29.2,4.15,4,46.93,1014.66,102.752,"A",453.99
2312.31,80.9,-0.35,84.15,2.76,165.96961983189,27,1.68,99,50.1297,18.1133333333333,24.34,5.41,0.94,31.5,4.76,3,73.5,1011.31,67.32,"A",440.29
2303.77,72.09,0.01,61.83,1.6,185.630495259582,24,1.06,100,50.4668,17.57,25.71,2.99,1.32,31.8,5.03,4,58.59,1012.77,117.477,"A",451.28
2091.48,83.44,0.31,87.59,1.11,162.774672097602,34,1.25,100,49.8229,19.73,26.19,0.58,1.03,26,3.02,1,69.34,1009.48,26.277,"A",433.99
2351.76,60.79,0.28,43.08,1.58,193.943425771283,26,1.56,99,50.394,16.14,21.42,4.86,1.08,36,5.14,3,43.79,1015.76,60.312,"C",462.19
2226.86,65.4,0.51,48.84,2.55,185.883383625551,30,1.3,96,50.3132,18.07,18.21,0.91,1.26,26.1,3.72,3,45,1022.86,19.536,"B",467.54
2267.6,61.64,0.57,77.51,3.89,188.226175397494,28,1.93,105,50.3728,16.68,11.04,7.82,0.94,32,4.94,2,41.74,1022.6,131.767,"B",477.2
1988.97,63.25,0.17,63.59,0.9,185.498056560002,34,1.22,97,49.7287,12.8166666666667,14.45,0.34,2.01,28,2.66,1,52.75,1023.97,38.154,"A",459.85
2290.15,54.67,0.65,55.28,1.57,197.10555800888,25,0.92,106,50.3274,14.6566666666667,13.97,1.68,1.21,29.5,4.43,4,38.47,1015.15,55.28,"A",464.3
2336.09,54.82,0.2,66.26,1.66,189.50917447739,26,1.04,103,50.3207,15.92,17.76,2.6,1.7,28,4.44,5,42.42,1009.09,72.886,"D",468.27
2255.16,51.97,0.16,64.77,1.5,195.027697994546,25,0.94,107,50.1018,11.8033333333333,5.41,2.12,0.83,31.1,5,4,40.07,1019.16,77.724,"A",495.24
2117.52,50.28,-0.34,83.31,0.74,188.688703305988,30,0.97,96,50.0406,13.5866666666667,7.76,0.74,1.3,28.8,3.88,2,42.28,1008.52,49.986,"C",483.8
