X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
2328.44,56.34,0.49,90.9,1.41,187.9124804,28,1.3,99,50.5488,15.46666667,7.4,1.7,0.75,29.6,4.39,3,41.04,1024.44,54.54,A
2196,73.26,0.04,76.18,1.18,178.366145,31,1.18,97,50.0801,18.41,25.23,0.79,1.03,30.6,3.77,2,61.86,1013,38.09,A
2116.29,92.74,-0.01,73.79,0.85,160.3708693,40,1.12,88,50.0146,19.89666667,26.69,0.32,1.81,29.5,2.98,2,79.74,1008.29,36.895,A
2115.63,56.27,-0.31,52.62,0.79,179.124496,34,0.99,94,49.7266,17.99666667,23.99,0.42,2.53,25,2.58,2,45.87,1007.63,26.31,A
2203.57,73.15,-0.26,59.05,1.03,172.4787989,27,1.11,102,49.7012,17.55,31.65,1.3,0.75,34.1,4.37,3,66.25,1008.57,35.43,B
2228.82,64.03,0.73,76.66,1.1,188.8810903,31,0.98,94,50.3256,13.98,8.94,0.65,1.97,27.6,3.73,3,43.13,1014.82,22.998,C
2147.85,80.56,0.61,91.91,1.36,165.0991283,40,2.63,89,50.1973,18.26333333,15.79,0.16,3.04,28.2,3.05,1,58.86,1015.85,55.146,A
2308.84,55.52,0.54,81.04,1.65,196.3149658,28,1.3,103,50.3353,12.81,11.43,1.5,1.31,33.7,4.51,3,40.22,1010.84,81.04,C
2132.38,74.91,-0.29,56.78,0.76,172.15888,34,1.37,95,49.9276,17.04666667,21.14,0.61,2.07,29,3.36,1,67.71,1006.38,45.424,A
2231.94,73.04,-0.3,65.04,1.14,175.9908981,30,1.03,99,49.9755,16.40333333,25.21,1.83,1.62,28.6,4.44,4,65.34,1013.94,45.528,B
2322.21,48.35,-0.02,89.75,1.44,194.2969914,26,1,108,49.8902,11.47333333,10.42,6.16,0.62,32.8,5.19,4,39.35,1015.21,62.825,A
2089.96,55.9,0.59,81.62,1.33,191.2926841,33,1.18,99,49.9825,11.61333333,4.84,0.42,2.04,27.3,2.97,2,38.5,1011.96,57.134,B
2012.94,79.13,-0.33,81.73,0.87,171.3961747,35,1.26,87,49.693,16.19,21.57,0.31,5.13,30.1,3.09,1,69.23,1011.94,57.211,A
2241.73,64.72,0.89,56.38,2.5,184.8355298,32,1.09,99,50.2591,18.95333333,20.86,1.22,1.42,29.5,3.92,4,39.72,1001.73,22.552,A
2269.76,50.62,0.32,67.32,1.24,194.7741781,27,0.9,106,49.944,13.68666667,11.06,1.63,0.99,31.3,4.48,4,37.92,1008.76,60.588,B
2157.23,44.16,-0.76,86.74,0.78,189.2156404,35,0.94,95,49.8859,15.28666667,15.86,0.58,1.73,29.8,3.15,3,40.66,1016.23,43.37,A
2297.01,77.07,0.56,83.87,4.44,179.4412624,26,1.15,111,50.0327,16.37333333,22.12,4.88,1.99,28.8,4.72,4,60.77,1018.01,159.353,A
2134.13,80.1,-0.35,60.66,0.75,165.8974529,33,1.15,93,50.0121,21.06666667,30.2,0.6,1.23,29.5,2.93,1,71.8,1011.13,24.264,B
2303.59,46.3,-0.34,61,0.9,191.5123679,29,1.11,99,50.3079,13.63666667,7.91,1.59,1.1,29.2,4.47,3,37.8,1020.59,61,A
2275.39,73,0.22,93.63,1.4,179.1038774,28,1.1,112,50.0555,15.7,17.1,1.68,0.73,32,4.6,3,62.1,1020.39,93.63,B
2128.95,54.7,0.17,85.68,0.83,179.0518898,41,1.32,96,50.1499,15.35333333,13.06,0.17,1.12,24.6,2.7,1,44.2,1018.95,17.136,B
2219.9,92.94,0.57,82.12,2.49,174.4677007,28,0.8,100,50.0059,16.91,20.73,2.56,1.23,29.5,4.5,5,69.94,1009.9,65.696,B
2280.08,48.61,0.25,83.28,1.27,194.5822023,30,1.17,106,50.0583,14.56333333,10.69,1.53,1.03,29.4,4.19,3,36.71,1022.08,74.952,B
2181.15,61.06,0.33,66.93,1.31,186.6698479,34,1.17,94,50.2139,14.76,17.28,0.58,2.68,24.9,3.43,3,44.06,1018.15,40.158,D
2305.07,53.26,0.37,95.84,1.16,195.6132245,24,1.12,111,50.1629,12.71,8.13,2.07,0.77,31.6,4.67,3,39.96,1026.07,134.176,A
2189.96,47.03,-0.21,63.38,0.92,193.6404139,29,0.96,93,50.1347,17.46666667,19.4,0.99,0.86,32.9,3.96,3,39.53,1007.96,31.69,A
2232.37,79.91,0.61,55.06,1.88,175.9559916,32,1.48,92,50.3114,20.40333333,25.21,0.87,5.16,29.9,3.73,3,59.21,1017.37,38.542,A
2146,66.49,-0.47,62.34,0.72,182.0862376,34,1.31,80,50.1349,17.55666667,25.67,0.33,4.66,30.5,2.9,1,58.59,1013,43.638,B
2206.75,49.48,-0.32,86.75,0.5,193.9824953,29,0.69,97,49.9084,11.43666667,7.31,0.73,1.12,32.7,3.94,3,42.18,1014.75,52.05,B
2327.81,72.55,0.38,63.48,1.37,179.4405916,25,0.9,112,50.0636,18.09,24.27,2.5,0.93,29.5,4.74,5,57.85,1012.81,107.916,B
2131.3,73.38,-0.32,52.28,0.98,172.9354039,34,0.97,101,49.6994,18.6,25.8,0.59,1.64,26.5,3.38,3,65.38,1009.3,36.596,A
2134.2,58.74,0.6,63.43,0.89,178.0144691,35,1.03,87,50.1427,19.89333333,20.68,0.4,1.06,30.2,2.79,2,42.04,1010.2,0,A
2278.41,58.42,-0.32,87.22,0.91,179.4917219,28,0.79,100,50.1088,18.08666667,21.26,1.28,1.32,29.3,4.33,4,50.32,1008.41,78.498,B
2292.24,40.06,-0.86,64.59,0.74,198.5393207,25,0.67,105,49.827,12.73333333,11.2,3.18,0.81,34,4.88,4,35.76,1019.24,58.131,D
2018.59,42.33,-1.16,62.09,0.73,196.0369537,35,1.18,98,49.2593,13.66666667,20,0.61,1.22,30.5,3.27,1,39.53,1007.59,24.836,B
2236.75,51.76,0.06,89.73,1.07,194.6516086,27,0.81,98,49.9072,12.44666667,10.34,1.29,0.78,33.5,4.44,3,41.46,1017.75,44.865,B
2164.11,51.34,-0.17,96.75,0.95,186.3945499,31,1,102,49.9491,13.57333333,7.72,0.9,1.21,27.2,3.57,2,41.14,1025.11,58.05,C
2320.9,87.15,0.05,80.22,1.11,168.6327111,27,0.93,108,50.2023,19.93,26.79,1.87,1.17,29.1,4.61,5,77.95,1009.9,72.198,A
2133.43,72.14,0,78.83,1,174.5631884,34,1.23,98,49.6918,17.08666667,21.26,0.63,1.21,31.1,3.42,1,60.84,1018.43,15.766,A
2276.04,52.72,-0.18,84.04,1.28,197.5426938,29,1.06,96,50.3402,13.28333333,12.85,1.85,1.62,31.5,4.58,4,40.92,1023.04,50.424,B
2136.17,93.82,0.6,67.02,2.36,158.9011965,42,1.91,90,50.1461,22.35666667,28.07,0.16,2.15,28.3,3.08,2,70.32,1007.17,13.404,B
2234.34,59.49,0.79,72.3,1.72,191.7582651,29,1.43,104,50.387,18.90666667,17.72,1.29,3.05,27.7,4.06,3,39.99,1007.34,93.99,C
2261.09,92.83,0.55,86.48,2.03,172.7389452,30,1.27,99,50.2165,17.81,26.43,1.4,2.05,32,4.17,3,75.33,1004.09,60.536,B
2029.17,72.27,-0.67,58.2,0.29,174.6422677,33,0.81,93,49.5628,17.13,27.39,0.14,1.45,27.9,2.99,2,67.07,1006.17,23.28,A
2207.63,82.44,0.38,47.74,2.33,173.6114773,30,1.73,100,49.799,19.06,30.18,2.14,0.86,32.9,4.34,2,65.74,1012.63,28.644,C
2253.47,75.43,-0.32,57.97,1.21,172.0979226,25,0.85,104,49.7533,15.48333333,25.45,1.95,0.63,33.3,4.71,4,67.83,1009.47,34.782,C
